
> gateway@1.0.0 start
> node src/server.js

gateway listening on port 3000
gateway request | id=fcfc17d1-46c2-4a58-8955-da8d39c5870f | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ca9a8565-d29a-4481-a77c-9bfd49d77bba | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=243c0ef8-ae37-46d0-b11e-5ab918230a8e | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b9224e84-932f-42ed-a928-da799bbbccfb | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=860624ac-fc50-4ed6-9816-39abc0a99cb6 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=30dbe2b6-dd73-479c-86dd-ff3b481a78e4 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=31668410-eafd-481c-8a66-55f056a767dc | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8eb762ce-4b9d-47a5-a25c-d786ac36a5a4 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=696e8050-efae-47c3-9505-235ff9605041 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=dd620d47-83ce-49cd-8485-0fea03f4235b | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ab030c9f-471d-415f-8619-0bbb0b99572b | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=585d64df-4849-4010-9aff-c636384cf477 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bc1e2801-a400-459b-8dc2-5a6daf1cafa4 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=897f0b32-886d-4e07-9ab6-7338a6c715a5 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=066b71bd-4b19-43e4-a558-d894f93033be | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f4924f42-d5fd-401d-8406-1bb6da6f0947 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=33b71f9e-96e3-48a8-8ecf-0d0352862ce7 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=48974546-bfd0-4849-b2cc-f3d76728910a | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4ebcc223-04d2-40f5-b663-d0dd2a5bb722 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ee40d6d1-c26c-4d8c-871d-b94b160e704d | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c467fd41-bcca-43eb-8005-eb1b690a131c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=626c8b78-7948-464c-ac37-97a9182ec956 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c6f88676-2437-4725-83c5-88175201c2e3 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3673a79f-91bc-4c29-82d3-19fd65bdaf56 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=77daff14-b962-459e-9dec-1a2980395dd3 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=cb16f4a6-e0a5-4890-bb2b-982c60672eae | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4be46b8e-164c-4784-9624-02dd4a8a833a | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0b02acb2-20a2-4cb2-8de0-4bd815c39083 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e36b989e-46a3-45e3-888c-a00e6b163520 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b7fef5b9-a1b3-4822-a171-dc908fd2ee96 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=343dbc66-1748-4264-b553-8645dc5ad4b4 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=31a28646-10ec-420b-a983-7d8a644ac525 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=917027bc-e32b-499c-9cc6-4bd3887003d1 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6e266328-b2e3-4fb8-ad59-2035fd7573d2 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=754c4152-b05f-472d-9e59-fffcdc8936b1 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f6cc1937-133d-47de-8a7d-048068ea40a1 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=db0abaa3-b00f-4255-aea5-08b3cd422482 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f475e0b8-caa0-42aa-acd7-03b28083b74d | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9f387591-8df0-4cda-8ddc-8b7bd00602c5 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0d4d27df-b1d4-42f6-a9ac-0f77bda44d03 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f7e78f28-58cf-496d-9caf-224da43663b3 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b3dbbcf8-5f45-42a0-8fd8-ada84cc0d880 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=eef54079-7e0b-445b-b944-1a5112489adb | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d2af7236-3825-4d5b-8d27-347fdb8e9c5d | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1334fcd0-4dc1-41c0-bf12-bcd50e7b6ec4 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=da55ecf8-2cfa-4a44-b17b-692999eb99dd | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1df636a7-6336-4966-a475-f31d3c49694e | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f7998fff-1f6f-4dd5-be8a-5e4f0220eb96 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=18f6b73d-d28a-4c44-a67b-4ac9dae76a96 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=39634171-332c-4415-842a-2917eb22aabe | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c8850fa1-e1ae-4e93-b8c4-6f62916e3bd7 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c28e231f-da7a-4db6-a030-c537d735e7ae | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fa543728-334f-4abc-8bd0-1f705a7e37f5 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9ec6a4a3-f6ab-4071-8477-abd91058dfc5 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7c84cc4f-e8b9-4003-8be5-56b02913d45d | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7905f832-470e-4f57-86c4-8e55a91e72af | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7d173ad7-95f0-46c2-804b-4689fc848d16 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4d9f9a99-cc65-40e6-86b4-7669aad8e665 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=87425b9d-b190-4734-ada3-e49e6f4b1751 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6ca62807-35c0-4911-8c74-a15a6cfb5a37 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9f69474d-cd2e-474b-b858-45c7275de0a7 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=40afdec7-7734-48f9-b3b6-9f07862eef9f | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7c92adc3-2bb3-4ef0-9de9-e825b1443044 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5032454c-4c53-4db1-9024-493de977cd69 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=af9d80ba-7737-4693-ace8-b2cdabe5a111 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5cebc8aa-a1ac-46bf-aa0f-47b0bddc8073 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=89b20475-bbf4-4cdf-99ce-133a18c351e8 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b0d3d59c-6cce-4b41-b74f-429450159f4f | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d8efeae5-4c84-4faa-b691-f30123d58ee4 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d16f8c05-c70f-4302-8125-787c00dd8cda | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=04c7f1b0-05f6-4430-a128-871ab4b2c004 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=39ff9269-7815-45a3-af19-f4de68ce05d1 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=24bbdcf2-b241-444e-afd7-3d19cbd2fdc4 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a1df4a5f-c410-4321-996c-869981513728 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d2ad591d-2235-4b7c-b6da-5c9226f5d11c | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=06419648-602c-4499-9d17-fdbea236363d | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=760c8ff3-d6e5-4bfb-bc72-091093a979a9 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c538c69b-cc3d-4dfe-8d0f-30572f364c4d | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e23ba360-cbdf-4c9d-b172-b3c4d276d065 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=150cba79-d1cf-4cc6-a2ff-09c6bd8b32d3 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a181ca72-38e6-4755-8519-52bfda2740e8 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f54c766a-a90f-4d80-9f5d-5c2ae6d282b0 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e7a8b475-6e5b-4547-916e-d92b16f002ce | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=33ceef7f-01fb-4e5d-888d-da369469fac2 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c2331b36-97f3-4bac-bcab-08088c20555c | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ab5456cc-becd-4d66-a602-4b3ff8f010e3 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a3859487-f416-4b53-9cab-32c9e5db5c33 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3dbdd9b7-014f-4543-b55d-01390fa3e169 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
