gateway listening on port 3000
gateway request | id=5c65558f-a4e0-42cc-960e-0d8b4a7ecc16 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=316c2645-c71a-497f-a97a-585bff884ab1 | GET /api/catalog | status=200 | durationMs=18 | upstream=catalog | cache=HIT | source=redis
gateway request | id=558731e5-4712-4cd0-bf1f-840649886608 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7305f973-a6b0-4de8-bae0-c7194bdeb6f4 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=12ca1ec7-1c56-45ed-968d-582a4609a9c4 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3e7a9756-a455-40d9-b49f-67f97ca5324c | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e2a11a85-c20e-4fc5-a746-f5c27f6bf75f | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6b264ef5-6df4-448c-9ccb-0c57a22805c8 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=24fdd690-11f3-499d-adae-0bfff839ab3b | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f9054909-063e-4b38-b31f-d6795dc26df8 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=028f63f4-649a-461c-af79-d0338b99afa0 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0276548c-cbe9-4a70-923a-eb2575848335 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=1d3fa0ca-026b-4b0c-b704-3642cb8a7664 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=15112e89-7cfd-4239-874d-68d3167bef6e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=95b208da-01fa-42f0-bb03-b3f79ab926f8 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=499a2fc1-a7e8-48a4-b858-65f04f5f8329 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e136f22d-2bcd-4e8b-afd3-8e425ded679f | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a746ff6a-efea-4bf0-b0fb-ad559e7dabd1 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e089b49e-aadd-401f-8b6e-0bd4af79c1c5 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=628a4931-ed1f-4e26-8adb-39e9949d671d | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5a344119-5f07-430b-a7c4-a91264c945fa | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6160d965-d64f-49d0-909f-f3761ab183ac | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=21c7e34f-5422-491b-9d93-4456084816f5 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=84011cde-394b-47a6-965b-afbdb1d19d85 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=aba4a1cc-8315-4890-a786-612694e938d4 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0db2e628-a69e-4ad6-bb16-6a10b53d26ac | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=HIT | source=redis
gateway request | id=39c4e846-0d10-4da6-adc9-cfd029739a8b | GET /api/catalog | status=200 | durationMs=14 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3f886811-e194-4806-a1ee-fbf3b622eb76 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8920118a-9f12-472a-9266-fe833711ca9b | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=HIT | source=redis
gateway request | id=15ffec28-359c-40a4-a568-77657ca08701 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=96197d1d-5d00-4f1a-b950-9710c0bac549 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b979141e-4ca9-4171-82f6-b6a47b3a929c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=33004b45-dfe9-4e6f-a2bf-3fb8ad497111 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8b8f51cb-0557-4c7e-9448-b386b03a25b7 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
