users listening on port 3002
users request | id=5f74177c-9570-4b51-9cb3-c0fac6b2e4d0 | GET /users/1 | status=200 | durationMs=1
users request | id=b2fe8700-eb74-4592-b2ae-46de0cbf8232 | GET /users/1 | status=200 | durationMs=0
users request | id=eae153bb-06d5-4d6a-933b-122a37f7fdc0 | GET /users/1 | status=200 | durationMs=0
users request | id=6b30acda-363a-4e01-8544-6b20510417b7 | GET /users/1 | status=200 | durationMs=1
users request | id=67048135-7e9e-424a-8cc9-714a565a02ba | GET /users/1 | status=200 | durationMs=1
users request | id=43d22b9d-f21d-4169-8a92-55a33de6f8bb | GET /users/1 | status=200 | durationMs=0
users request | id=58d07fce-bac0-4643-b3eb-a1e5d18b3760 | GET /users/1 | status=200 | durationMs=0
users request | id=78d2380a-2e8f-49a0-991e-3af203e6af6b | GET /users/1 | status=200 | durationMs=0
users request | id=1b7629b8-bad8-429e-89c1-d747ef13ad7a | GET /users/1 | status=200 | durationMs=0
users request | id=790877fe-614a-48f2-b8df-15b0e8b3b439 | GET /users/1 | status=200 | durationMs=1
users request | id=3050c9f3-60e4-4f95-9d30-7c1fb2116738 | GET /users/1 | status=200 | durationMs=0
users request | id=0dae5588-1cab-47dc-a362-2dd3b00f1a9d | GET /users/1 | status=200 | durationMs=0
users request | id=8c0f9a9b-a1d6-4633-b4ef-bf3ccc690c38 | GET /users/1 | status=200 | durationMs=1
users request | id=3e984421-46ab-425d-9094-857fb7362c05 | GET /users/1 | status=200 | durationMs=0
users request | id=7a194d64-942d-4ab7-b8d4-24394d9a1f6e | GET /users/1 | status=200 | durationMs=0
users request | id=8ab16a9d-f4f5-4828-9d36-10adbd10f174 | GET /users/1 | status=200 | durationMs=1
users request | id=30a59660-41ee-453d-8ebd-84fdc5c3d720 | GET /users/1 | status=200 | durationMs=0
users request | id=2f2c8652-f0fe-489b-a37e-e55503344ec2 | GET /users/1 | status=200 | durationMs=0
users request | id=2a421572-9dd4-49ab-bc0a-a5a40edb53f6 | GET /users/1 | status=200 | durationMs=0
users request | id=16d1490c-9839-4dfd-a727-b391d24abfc1 | GET /users/1 | status=200 | durationMs=0
users request | id=a8c3d7a4-2f50-4fa2-8f02-afb3a60301c7 | GET /users/1 | status=200 | durationMs=0
users request | id=548207f5-6083-43c0-ba24-de52bc7efc0a | GET /users/1 | status=200 | durationMs=0
users request | id=e83f8785-c845-47da-8285-f041bda88ff7 | GET /users/1 | status=200 | durationMs=1
users request | id=f9a64158-cd86-48bc-b8e3-f394e8a14083 | GET /users/1 | status=200 | durationMs=0
users request | id=7da64c5d-7198-4780-a802-b03950412553 | GET /users/1 | status=200 | durationMs=1
users request | id=39a681f8-de86-4479-afc6-82ccc8be3628 | GET /users/1 | status=200 | durationMs=1
users request | id=bab831e2-55d8-4ecb-9bad-f9fc9d3fbcd6 | GET /users/1 | status=200 | durationMs=1
