catalog cache disabled
catalog listening on port 3001
catalog request | id=a20e8c92-cd8b-4f5d-a495-7aafc355b367 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0ca0b91a-7d4f-4935-a3cd-599b5f7c0d28 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6e4e2c21-aada-4d75-a395-252334535e6e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e21eb528-e28d-4ba8-ad3d-fb3b1dc60981 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7ae2963d-8cd4-48f3-832f-c40cfbfbe989 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a096dfb-8b37-4ac9-a4f3-db83a0f8c81d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1e3b8a55-3fc9-4e51-b562-5a42a27ce2f7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1cb2c5b3-aae4-4e7e-b5df-466bd776b4cf | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b45c24ec-3f78-4d88-a0b1-e978cde6320a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=654188ff-245f-43f9-875a-a5be48321426 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=98b63579-2638-4e40-9140-8a041da25490 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f44c6d90-3de6-4b5b-8113-3971b9b72303 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=11ee7f86-388a-47a8-b07c-6e95c5e9cf86 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=803dd814-e981-4b0e-837c-0d988f20da21 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=478ccbd8-2002-4ad8-8c33-855b0e09f135 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3e11b757-e1ef-40e0-87ca-38f41eefbba2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=15b2a39f-bd3c-453f-8d76-87dd0da9f4cc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3646d7c2-c42f-4397-819a-9257c1677932 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2f1da4ec-4b96-4901-bed2-aa8f20a794b1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=23b1f6fd-e2ac-448c-9f77-7ba019fbd3c8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3dc77988-6b4f-4045-b5c1-9cc0c74c19bd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=34edbd7e-0dc7-44cf-a30c-669f1b1dd44f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=92c48f46-93ad-43af-b2d7-21a5eafb8dfc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a427682-a345-4bcb-ad2d-0b8967b610ba | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0f5a4161-8036-44cb-bebf-89e1c3028c79 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ed3c936b-a718-45dc-9c7a-a2e55b730e7e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8ba94f5b-655a-496e-b55f-0a837a3016fe | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=94c71e15-796a-4917-8bf7-2ab9ffb7a6f1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=da98d27f-1bb9-4281-a968-086e19856a16 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5137ef81-69ed-41fd-995c-1c681a9faaf1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e452aaea-3b8b-4855-b022-acf87a090159 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=09431aae-fd8f-46a5-a168-201b90d649b5 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c4268fa6-50ad-4030-a7fc-947824f90da6 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c951c2d9-8d23-4406-a876-9f742aed6b54 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e99637a0-1c40-4b18-925a-8be13e5903a0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=16113f34-8098-4c51-b7c9-e5ec688c7a58 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a6cf0777-c7aa-465b-a463-1abab800f458 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c4eb6575-bb68-4aa4-b4fb-d351d75c7208 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9f4f8161-1513-443a-adcb-d7ffc8f9b9aa | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=91b507f4-792a-4dc0-a5b8-059fbfff6e6f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bcf95056-d2c3-400d-ae26-92db3c36641c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=44d6ed04-a28c-4233-ac6d-b5435d686dac | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2cbbe22b-7f80-42ae-bebd-1dbe18fd4348 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=42bd8b2f-ea88-422c-826f-bcc34054e10b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=79466d32-60e3-4e45-ab61-bdc1a8ddcb03 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
