catalog cache disabled
catalog listening on port 3001
catalog request | id=52a5b949-25c1-45a6-b3f1-adc1ca4fd0c0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=159af35a-f304-4eff-a3ff-dac17c6f8820 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=654085b8-1b17-41f5-bcd7-8896106e829b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7f9bd049-4b03-4eb9-a3f2-444f4efa0800 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ae1b30fe-4cd7-481d-bcd7-d2abd04299aa | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f5d17eb5-d877-48fd-9fcb-e83cf57b6132 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=46c84c9e-42db-4897-84b1-dd12b858bba1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fdb465c2-2bb1-4800-958c-de8cd4bcdc7b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2e458118-d806-487f-9274-b8f0166df61d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=94b9d37b-6b01-4c4e-bc06-97dcc6af594d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c733b230-11f5-4f81-963e-a1eb71d0af83 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0920e102-bcdb-4218-a71b-75147666842a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f4256f31-f5d6-4e86-9028-c5eb9a6aa443 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a783cb82-c434-4791-87b2-c4cdb4cf4262 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c5fee844-3c1a-4ab3-ba69-5c231496f9f4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e4d8eda5-32e0-4691-aa67-624cdb54e9be | GET /catalog | status=200 | durationMs=50 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4d301c81-9390-4580-ad20-bd7b1d045cd7 | GET /catalog | status=200 | durationMs=50 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f92764c3-70d0-4cd5-8ae8-b862b6c630f4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=831bb884-4880-4ed7-aaca-61606446bf66 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b5129579-b28f-44f7-9351-a84ec18c1bf0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=74820a31-0374-4755-b4d9-8fafae0fe7b9 | GET /catalog | status=200 | durationMs=12 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7df023f8-1acd-4533-b06a-99aa7cb0efbe | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c92fad68-541f-4337-8c08-8f5f39a90179 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=78b70393-213b-45e2-8612-1eb24c587c44 | GET /catalog | status=200 | durationMs=17 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1efddb51-80a7-44a4-8977-07c077fe91f0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=34047dfd-e79e-4896-872d-f3cdad2d887f | GET /catalog | status=200 | durationMs=22 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e551914a-6ce6-4f89-8c2e-f60b5c8ea3e3 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ba05a169-8185-4968-bf65-cd038e09cd68 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bad0095a-db02-4b93-8985-91a3a087d6c5 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3b2aabde-5d9e-4819-840d-420372ac94b0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c0fbebf0-565d-4b29-82d1-e65276add394 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1e340cb7-b86a-45da-8f22-852fe58aae18 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3299b6a9-7320-43ab-a422-8dee56836f18 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9bcabc96-e324-43d2-8c7c-b0a80c988505 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=15cba876-1c80-4f98-90b6-cc7221554b69 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b49c51cb-1081-4e56-be77-8e1094e10512 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=67c1da6f-01d4-4f43-ba8a-0de50375a1a4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d592572c-cf9e-421f-a1a4-8a7843deeeca | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4ccf2882-c737-458a-bf47-14900bb9bc85 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f2a8dc5d-7c19-4f18-962d-4833b293f559 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=983e7733-c9b6-49b4-ba5e-5ce92fd9a814 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ca203a9c-67b2-4652-9276-d5c566c6dd4e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a68821ad-a48d-4a89-af26-24149ad74629 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a72ea26a-2b08-4b86-8ca7-b139c4e1c7bd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=12d1e157-8274-47ad-b78c-684feb2f110c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a76fcbb1-2552-4f2b-92f7-9849cf0e90e4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1252cfc3-be66-4c1e-a3a8-97037c5ca1fa | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5e33bd0b-f9ff-40bc-bc1a-d59581ea0d3c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c11cfb22-bf2e-498d-869e-33e9a6420362 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8068dc2c-dbb7-4a15-acf9-b66841882015 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=923363d3-d32d-42de-92ad-f433289b2fc6 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ef0ba78f-c5bc-4b17-b45a-409f037325a9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6f20d7a5-bb06-412e-9875-7c6832ec2a80 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6c49a1b9-e5f8-48e0-9293-f237a172829a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ec2ec329-9fa6-465f-9b29-78380e3667cc | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ec3968ad-91b4-43b1-809c-483e27c812f4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=94b33a18-7d73-4af4-8c74-b7694114cc8f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b1f17e88-1637-4999-aca6-eb074e5f4a59 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=530988f6-b65d-42f1-994c-55ed9ea604c9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=569131ae-1231-4773-94a3-358aba310de8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=141a1d70-80c6-4f93-9d9d-e73a1cc4ba0e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f7c7f60a-9fb1-4e79-bb67-6f0dad89004e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a3552457-614b-40fd-8673-f0566dcaf69b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1feb8332-3df9-4a61-9ffc-ce16944e1f73 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=22472a2a-f94f-4e1a-8030-ca5710f9987d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=37180676-ebcf-460d-945c-5329c7218af2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0857bed1-8800-48f6-8e84-07446e60e711 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=844cd01d-3faa-4b0d-9b23-c77a63ba67ec | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a4e23239-c668-491d-bf84-3112b80e9fbc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c6199e86-17c6-4649-aa9e-0f319eddb976 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=81e188bf-a79f-4829-8d00-20136ba86a2c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=616dc962-1103-47a0-b4a8-f8faf806ab3b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=55f42b81-922f-4267-ac02-5a4e786448c8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=de6738df-5255-4fc7-a647-12b3ecaf7bad | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a1e62abb-9cd2-413e-8afa-aa5ec52ae0cb | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1b70fbfa-531f-4403-bfea-ae01def92600 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=302fa1b3-c891-41a0-a0f9-181f60b876a5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75196e43-a097-4472-8655-14499c2237cc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7f7287c5-c01f-422d-96fc-db55b78989e5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8d65cf44-65b1-461e-8be1-faf76a69cdc4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c20208aa-97ea-4732-a8f1-4807190cae56 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
