catalog cache disabled
catalog listening on port 3001
catalog request | id=9d4883c5-e419-4ae6-9b6c-45b0c274fa6c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0d7d5c88-78d7-4bb1-9eea-cf3196e2c082 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0b4e20f4-3285-4bea-bae0-2453abd5fd99 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cee258a7-1d6c-47f6-ae9f-992d8684242e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ea51876f-3f6c-47d9-ae2c-b175c4be4445 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=890bbbc6-de19-4a4b-9792-84666acd08aa | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=570a68d9-2bf3-48d9-ba75-23ab03c82cde | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a9f0c0f-2a51-4fee-ac02-a7d0bbae4124 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=075e8ff5-2ac5-4282-8e5c-ebdf0913bccc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=38bf7cd6-a6ec-41e8-9bd8-7d76d39ea5e7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8b4fb9b6-9137-411a-8f18-245169abfd9b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=afcb9f69-df8f-471a-bcf8-18ed2664b2d1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b8da4a1a-47cc-4b01-aaae-13bb133357d9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a55fee85-0a47-410c-bd7c-cb5adc3c0b42 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d861c860-c52a-4f87-a128-34015b8b5352 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e93fa335-7198-460a-b38a-b7e5f287e64e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ec73ae5f-76e0-454a-90f6-934603b62bbd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=28e41de9-f85a-4c1e-ae8b-d3861c177bc6 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f149630e-0a11-4b27-9cb4-cfeffdb0f9b9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=effef7b0-5b83-4b71-b58b-1bed3c71bbdd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5fe10f85-c1f2-40d5-b3ca-ca946da2f60b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=aac42be8-fa14-4b40-a22b-50887d945b08 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a1939080-4966-4b3a-8dd7-adfe6b0238f0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=298782a9-f8e6-4f12-afff-c480b935a1e0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6b83cc04-03e8-4f53-8201-2e409099aadc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a09f6cc5-7a59-4e67-b3fe-100571ed0672 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5f026639-b97d-4bae-9c5c-6c5be992587b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2735d8f1-1be1-45a4-8a69-1c641cb18e33 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a1eb0c6e-c606-462a-bf99-abf1c6276d20 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=27e70d27-eb4d-4002-ae4e-30656d1f7865 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=956bd5ba-d621-466b-aa68-69df85d89059 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=53d06dcb-2d05-4f7e-84fa-26047c270eef | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=935ae9d3-e3ff-416d-bc0b-173d4402e904 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1de016c6-5ab4-4e67-ab3e-8229301b6b18 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0eee330c-b510-4230-b25c-26df558baf2b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=92cf64b9-6bca-4fc5-86be-5a140abb3437 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fd94c4e4-5917-4b1a-bbf0-3295b897723a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=beda0eed-7ca9-482b-8559-58a9ae8a4b6e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d5ffb63a-b0cf-497c-abae-607df571c153 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=60c32ede-d262-482d-b858-d41a5f5f092c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4ec51c9c-3182-4433-82c8-2ab905729ed5 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8f1c458d-a1b1-41b3-bc43-3ceb5c7d258e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5cc19965-ccf4-4f17-9327-e7fb95a99f7a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=05332cef-3dd1-4ca0-a6e6-c4b53c8727af | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=459181cb-4d80-4dbd-8181-a75071fa5132 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=84875715-0f35-4c3d-b4e6-31dacb755915 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9e4df134-e068-4c2a-83c1-f82b802fcf52 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=edb55ec3-c3e4-47cf-96e0-79e0e401a595 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=43a3bead-4b39-441f-b972-cb2ecc625439 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2c7b2b02-09f9-4c93-a603-b758763726b9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=68b62cfe-9040-4206-814c-af0571453935 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a29f7594-ad22-499a-be13-49da4ecd0405 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=108335e8-0f77-4399-b8b4-17e032be2ad2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ac0ac2a4-7bdc-4a94-8156-b990ee991ba8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=07ed6e79-a4d3-4cd8-aff3-c02e04ae1e1e | GET /catalog | status=200 | durationMs=5 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0b7ff53f-ef32-47ec-8592-20ef61786b79 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=48ac11a2-751c-4610-bbb4-6ef3cd1c9651 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=78e45013-f3e9-4225-b631-025282bfba97 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
