catalog cache disabled
catalog listening on port 3001
catalog request | id=9e70c880-c861-4710-8c68-192f4e707153 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2716b241-eb11-4caa-9a3c-d6f40db229a1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=daf1f00a-7f72-4208-97e1-4bee6a067759 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=659b5acc-e38c-4b28-91f6-96a96ed648b7 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9b9bdad6-8c12-462a-8323-0d55e37522da | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=377f6419-01a7-4575-879a-4bb02e3b4d7c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8b56ef3c-17b7-4384-a05a-14d31e4525cf | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6957040b-5862-4558-84fc-8e6de0e8ea6f | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=af166a40-d5ba-4e2d-8f12-1f9180fe8177 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c748ca59-ce1f-4457-ad45-c2705d50ae80 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=26f9515f-4505-4ea5-99f5-6b06170ad43f | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0e5f1c84-5ab1-47b2-9292-d79becb2cf6d | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=575c4dd7-d3b8-48ac-a622-4d4b71c74e22 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4cf14b51-5e45-4e8c-9b2a-2de9cef3afad | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1ded12da-047a-42eb-8dac-5e41b2d15ba2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fdabaa5f-c07f-47cd-a2bb-9acf8f8ee627 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=02fd12d3-bc60-4635-9b16-aad3dcec5db5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9bd1af2e-016c-4310-9718-66b4906bac49 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2d78ccbc-500d-452f-8614-63b7e949aa62 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=13b19122-e114-45a2-9f3c-fdf521d11f40 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9d2c7bcc-6348-49a9-aa20-721a438c9023 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=76d291a3-0afd-44a8-895c-643fe7e77fe5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75730cc1-6b90-48cf-ad15-28ace9b9a8f1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1c18df9f-bd0e-4766-83ec-d8a4568c8e12 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=069a7756-efc5-4dd6-9122-cd041ec346b7 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b4e64df3-fd77-4398-be99-d54f31ec619b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=863b06d0-7884-4a32-b9dc-86ea676651fb | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=71787e3c-dc3a-4366-88f3-76b707caa224 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5e7ff107-d621-4191-a95f-26c064e9ec57 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c367ef5a-75c7-45dd-8774-e9374acc05b2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8f3c9126-eb7a-44a9-9b43-f8c9a0aabf9a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=dd96b972-4f43-4c27-a15a-d92cdcfab087 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=412ee83a-db13-4082-a1be-d3962111879b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
