gateway listening on port 3000
gateway request | id=7e69bd1b-8b5e-467c-8df2-ddca4eba8781 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=91b52ce5-2400-4a31-872f-85b6e5c97346 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8b5097e2-d28e-447d-b238-581da837dd72 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7fb72d2f-d5cb-4ed4-9f48-caf5787a8039 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=964a1b8d-032a-4bf1-a35c-1c7163adc242 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=17ac16b8-0377-41ba-984d-a593fbd3da9c | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b2fd99b5-959b-4b08-9d10-707b59a7c8d2 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=eed7c842-6d27-4af1-af3b-55d38b185240 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c7078855-7d99-4f72-839b-4de912d91793 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e8f3d3e8-7ba2-4765-86f0-617e55832050 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ee1b7517-4d0e-41be-9e35-ec11d4d82e9c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=30429960-081a-472b-8242-ebf7a836e6e6 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6fd12902-2c73-4717-8f29-c0b77e40ab4a | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4543642d-0c2f-4511-8ad3-e3b5a2ee1038 | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0b9553d0-1aa6-4b07-bef1-83f518cc3692 | GET /api/catalog | status=200 | durationMs=20 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7690ef97-a6a4-409e-815b-04201fc99b73 | GET /api/catalog | status=200 | durationMs=21 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9fd79fc1-7363-4e43-a5f7-6b43236d72e5 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9c4251d1-42a8-4fb7-a476-d8ba85b4c9ca | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=688a053d-c008-4c1b-8e7e-c95d19e511b8 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=757f8346-a5be-43f2-9e76-b4c1586c9de0 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d11be041-e881-4f35-a83c-e8ff0fe33884 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7fa2af5e-6d70-4255-a492-0333873b8fa6 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e7fce892-ca47-425c-bf3f-d0296f716406 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a0ca308b-925a-42cc-bb8f-efea86c650cb | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f5dfc689-744e-43dc-8da6-59d43935593f | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9ee8dbff-b294-4f34-9ec9-1df3822071a8 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a36118c2-a690-4c81-8f97-05354a0bea1e | GET /api/catalog | status=200 | durationMs=249 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6afab41f-0663-4c23-9cfa-3bc02bd64a9a | GET /api/catalog | status=200 | durationMs=59 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d524210d-7eee-48c2-9db1-748e49b459f7 | GET /api/catalog | status=200 | durationMs=64 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bf2f5781-dc0d-40cf-9a64-ce3f60113d4e | GET /api/catalog | status=200 | durationMs=68 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c3d3b35c-3208-499c-8f91-4bd249f9f79f | GET /api/catalog | status=200 | durationMs=71 | upstream=catalog | cache=HIT | source=redis
gateway request | id=61a220df-59de-467f-80c4-070136f50eb4 | GET /api/catalog | status=200 | durationMs=76 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9fb5c6be-d747-4cb4-a015-8c6a9086bd1c | GET /api/catalog | status=200 | durationMs=80 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e3a4a492-fc38-46ec-a84d-00844007553b | GET /api/catalog | status=200 | durationMs=89 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d2fd83ad-ec96-42f5-ab86-88afa864a1f9 | GET /api/catalog | status=200 | durationMs=91 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fb2d6619-fb34-4ed4-a952-24c0da955701 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
