catalog cache disabled
catalog listening on port 3001
catalog request | id=459c2ad6-cc5b-4047-913a-572fcf879490 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=91c9bd64-0483-43bf-b3f6-05937ace3d56 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=42c2eedb-701f-4080-8cb8-3499fac73810 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f528381e-3e7b-455f-ad39-074178e90710 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=49dc6309-6426-47d8-a119-36310cb7afbb | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=09b80728-15d6-4c83-b0b0-81a31e7e5821 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d5dff545-f23d-4650-a049-ee23a0d27f31 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ddfe6618-c4ed-4fc2-9775-947f1179ef16 | GET /catalog | status=200 | durationMs=11 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5098dfaa-4d95-4a9d-b1e8-5ab2de1faeea | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cde2d1f6-2878-4abb-adf6-7480c5deecb9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d8cfd6a3-ea6d-4e47-a781-9ab631406ad0 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a90a2e63-89c3-489d-8c1a-c37c7259074e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2caeed10-7308-427f-99d6-37872653d76d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=478d4348-333c-4f00-9c86-3a805c9e41d0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=83f8c058-dd56-4c60-b98f-e49d1e00a4dc | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e0cc30b6-e6a4-4cb8-b43b-8f2834db855b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=990c31fd-d8be-4628-ba03-0a9800fa7c38 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=685a8f21-c0a6-467c-9c76-ae268bebbeb7 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=da81bdda-f8cb-42fb-b939-c649a089521b | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5a0a4dac-8345-4897-a12f-e814af8fd9a3 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=dcaa71bf-1484-4545-9d25-dfaa486ab6ad | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=065cbb6f-7d3d-4928-b2c6-067ce6ccc374 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4bad8181-3088-4a89-b007-da2b8c3f4be8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a4fa4a68-49c0-4932-a15f-e9c4c217773e | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5928243e-b162-4958-8afc-5733b8fb7c39 | GET /catalog | status=200 | durationMs=24 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4b1a359f-5b0b-4339-a51e-9b30ccbeef90 | GET /catalog | status=200 | durationMs=12 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3ed2aadc-4a14-4a6c-9a3c-79f0630bd71e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ee6891aa-1476-4550-9832-8eb8bf1d33bc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7f3b8768-6c79-4c70-8f19-09b3726fc53d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7ef727fe-4574-49c0-b764-550fabcc6451 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
