gateway listening on port 3000
gateway request | id=744fcfb0-df54-4202-89b2-7da08e9c98bd | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=22e5ef9f-8fb5-44fb-81dd-6c90b94857e4 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e915ce55-4e08-42cb-bb43-8168a736e528 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6baf8113-fd9a-47fa-ab4c-6b9bd93f367e | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bebc4d62-a8ff-4666-9b97-f05f245656e1 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9d6b5505-7626-43fc-9885-23e7db3b4273 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=05d7d32a-81f2-4215-aa5d-0bb2c00f81dd | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9b20ce40-a57b-4285-b65a-66ed226ee5d6 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=dd100321-d1a9-4457-a67f-bfaaa292e2e5 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4963ab33-1153-40ad-8752-bf8827b37d41 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=15310be5-f611-4b92-9180-5972956df597 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4f1e8598-d7d8-4999-b660-b99f157ff6c3 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=25f1cefa-03ca-49c5-9800-a2be61aa76bf | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=54bd3362-4f21-40b4-abcd-2a9b6fadc2fb | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9d804d0e-b0a7-451f-a25e-d8e4f9fddf48 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3b05d8cd-4a62-459a-94b4-b01e3f3ec40a | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6e5b47c8-5297-4e68-9eb5-f916b2ac7ca6 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=cc600376-c9c8-4ce5-aaff-f80dd7edf296 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a496ad93-5d47-4918-930d-f3d10e5dafe7 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4abb762b-4466-49b6-9c45-4c7ed34af95e | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5aee6222-50a0-491a-b923-ace0da89c838 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2b5c6ea0-cc9b-4c2c-82b2-1f4a2f114c7f | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c88cf3c9-e0b0-4fc1-ba64-d83b31296715 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8340c7a0-b05f-4d04-90a6-5c0e23730f4e | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d139628e-2d8b-4cc8-bb75-0f7c14cfb7aa | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1538073a-a769-499e-bfa1-3bc92285d077 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=00f45e52-4606-4bb3-8cdc-4ba978bf7502 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d5182d0d-9455-4f59-b978-9392f439b869 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3852777c-df19-41eb-99d6-a00a172fdac7 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f4f273ee-c634-4ee6-be30-b39084cfb369 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6d2fa3cb-ac8e-4baa-8744-684208029966 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=eeb86827-7eef-4545-b8a6-7319d1e0659c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=81c15201-e403-47b4-bdd8-a3513d5e25b3 | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=14dad30b-4328-4643-814f-dac92f4cb9cc | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=88099f86-8e21-4591-83db-f4b1c545cdbd | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=10753712-5073-4e3e-adb8-662f72e349ec | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=643fd663-b4f9-4ddc-86ce-a3f9891627db | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8bc183db-a904-455c-a12b-16656ccfb5ad | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=427bf613-d12d-4da8-a388-a89dae4caee1 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2e47ce76-0d7c-4496-b695-adc5cb2e4d64 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=09aaa897-0242-40c4-a6d9-ea607944263e | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=727ca157-8925-45ae-9266-cb507a4275d5 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=45d44d18-8aa6-43fd-9596-bd7aa52565e8 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=70a1f35e-836f-4e76-bb6e-6505878a9830 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=04a7ce42-75e1-4909-b0c6-b87a8125ae25 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7dc6bcf1-28c8-4a50-97b5-a32f6a54aff3 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c7fde5b4-3c7a-49cc-afd2-3a86f02cceb1 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=840ad6c7-1ccd-4fd6-b6ab-a985ef104736 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9fae970f-a4ec-4c23-b640-a6ef95f24ff4 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3bb56006-151d-4c42-a9ee-a4caab15319d | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6de3eb4f-0156-4d8f-8700-e1b57eb9a48a | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9cbb2ca6-632e-4e33-b9b2-7ab427db1d87 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b5164d1b-6624-4e24-8411-80df9e377c36 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ea7cead5-8a2d-47a9-aa92-4807d57301d1 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1249d1fc-5035-46f1-9b20-13e8fc0c72f6 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7f1b10a7-d6fd-4235-ae4f-65c689faf983 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
