gateway listening on port 3000
gateway request | id=a0ba079f-8221-4db9-8d80-8da4019011ee | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=12dba1d1-babd-4497-b370-9cb35066ec03 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9f0fbe94-cdb0-444c-96c2-7058558ca882 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f3676b78-b029-4d6e-a0d5-6c2cab3dc448 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=52361d31-742f-4831-ba60-2ab7a50efb2b | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=428b2bc7-6850-4d1e-811e-f5ff34295fb0 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a87ec4f8-f281-4f7e-ad33-a6e6a703331a | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=41e69adf-0cb6-4e8e-8c85-2aa87f52f568 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c4c8e0dd-13e2-4d1d-9313-2badf6a342f2 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a380bd41-cc26-49a2-8f15-28b8e14e7c2a | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0b607847-288c-4b22-aeb3-f597b86d8e6a | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=89185e98-334d-4cdd-acdb-d9fb876da703 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f79afcba-d489-40bd-8620-d5121066bc6c | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=27e58342-497b-4eed-a9ec-95f25f536ebd | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2b7569da-17bd-4abd-81c9-3cad1419349e | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a7577f52-392d-4d6d-ac33-54816b0170ef | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bc9ed9fa-1bd0-43c9-b6e5-6244d060a498 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b78dc657-7cf3-4fb3-a460-b28c7c00d995 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c3ee724b-2bee-479f-a577-a7106fca31a4 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b4386857-b586-4444-9381-c22e3fef3981 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4b816861-6f1a-40e4-9ee2-6260f2bdd83b | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d435b8eb-dd60-4e15-aba7-fae278455afe | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c54e9e5f-d45f-40f6-a55c-b07c64cee914 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=14554a42-972e-4bcc-866f-9e5b716d4448 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3a2ef0fb-9fad-4ea7-b1c6-3fc060286a19 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4999e215-5b0c-4266-bf80-b9d434405b61 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7358e782-a600-46d6-8acc-7b36082ef5d7 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=31ffbbbb-7080-4ce7-b66a-3b31d4c8ed81 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3ac9ab53-3ce3-4c03-aa16-e2b82e69dd65 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=850e73e5-968e-48f7-a698-2844582783d2 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=dffc5351-e2b8-4a70-8d3b-afcd5ebe2862 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d4349eec-062b-44ed-a423-11d767936b51 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=604bdb0e-5d45-4830-9a6d-c8748d24e16e | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
