users listening on port 3002
users request | id=a5d55630-c1d3-46d9-8f3a-9b680351fdda | GET /users/1 | status=200 | durationMs=1
users request | id=482893c5-aaff-4fe2-932d-2e0085e5922f | GET /users/1 | status=200 | durationMs=0
users request | id=b28c418f-0d13-4525-9920-ab4ac32b4a61 | GET /users/1 | status=200 | durationMs=0
users request | id=ad464a44-f19a-4a2e-817b-f6e38b22821f | GET /users/1 | status=200 | durationMs=1
users request | id=d769e1ff-2181-43e1-a3d9-af0753bfc70f | GET /users/1 | status=200 | durationMs=0
users request | id=32738204-49ac-4e99-840f-8149c1ff2e89 | GET /users/1 | status=200 | durationMs=1
users request | id=d2929725-17b8-47bb-9f28-769743f80fdd | GET /users/1 | status=200 | durationMs=1
users request | id=896ab307-0887-40c4-905f-58fe0db78b61 | GET /users/1 | status=200 | durationMs=0
users request | id=49d25eb0-1be5-4d8e-b382-c01f2b457e8b | GET /users/1 | status=200 | durationMs=0
users request | id=b1563c8b-db71-4107-abd4-520bf3fe8569 | GET /users/1 | status=200 | durationMs=0
users request | id=3567798a-cd1d-4bfb-bc14-742dc81c916b | GET /users/1 | status=200 | durationMs=1
users request | id=abafc9cc-156d-43c8-8b71-b90c591faca9 | GET /users/1 | status=200 | durationMs=1
users request | id=375fcbe9-328e-49da-a294-566ec1be0846 | GET /users/1 | status=200 | durationMs=0
users request | id=186d8258-38c0-46d5-9526-6889b8981d3e | GET /users/1 | status=200 | durationMs=1
users request | id=102690d2-42fd-4f1e-a74a-9550457929d0 | GET /users/1 | status=200 | durationMs=1
users request | id=53103eb8-68a6-4655-8980-4089cbdc21dc | GET /users/1 | status=200 | durationMs=1
users request | id=39ed6c7f-75a1-4541-b24d-ee7e401054a7 | GET /users/1 | status=200 | durationMs=0
users request | id=1abcdcc1-c87d-4a9a-b482-e546233e9deb | GET /users/1 | status=200 | durationMs=0
users request | id=8daefa74-7314-4dc2-9c0c-79f8889eccdc | GET /users/1 | status=200 | durationMs=0
users request | id=bfa242e5-61ac-4cd9-95b1-38f67b0f10d5 | GET /users/1 | status=200 | durationMs=1
users request | id=ba99fb52-062c-4034-90ed-6817bdfa31f7 | GET /users/1 | status=200 | durationMs=1
users request | id=bfb24bf9-5a5c-4dc0-94a0-90ba943ec513 | GET /users/1 | status=200 | durationMs=1
users request | id=0a06c445-c324-4272-99a2-820a543c208c | GET /users/1 | status=200 | durationMs=0
users request | id=16e6a56c-9fb5-40e0-aa46-017d2d8da2a6 | GET /users/1 | status=200 | durationMs=0
users request | id=eaeb6a79-1ed7-44db-ac67-47ba9b0a212c | GET /users/1 | status=200 | durationMs=1
users request | id=76842be1-b303-4759-8d10-f5be52c4cd83 | GET /users/1 | status=200 | durationMs=0
users request | id=16ce6d11-8867-4b63-885f-c0dca89b2ce9 | GET /users/1 | status=200 | durationMs=0
users request | id=fdacf9e9-1ef7-4e31-9b04-c1cb8a0b4e93 | GET /users/1 | status=200 | durationMs=0
users request | id=6a15babb-9026-40fc-8a98-435d5066117b | GET /users/1 | status=200 | durationMs=1
users request | id=9b89c6fd-0f39-413d-a0c7-2e485974e4d9 | GET /users/1 | status=200 | durationMs=1
users request | id=4ed6440e-2c62-4e96-a751-beb71a97b1f4 | GET /users/1 | status=200 | durationMs=0
users request | id=4bd9d8d6-dcba-4071-a960-daf79dfeac2b | GET /users/1 | status=200 | durationMs=0
users request | id=a36d1d8a-4aba-439b-a03d-6e5f4bc1125e | GET /users/1 | status=200 | durationMs=1
users request | id=a31cdf29-a3b0-4fc1-9150-99b8ad17c9ed | GET /users/1 | status=200 | durationMs=1
users request | id=054303fc-ddeb-4bfb-a76e-16c207a04ca7 | GET /users/1 | status=200 | durationMs=0
users request | id=a58997f4-77d3-4d20-be2e-7a908e36c6ef | GET /users/1 | status=200 | durationMs=0
users request | id=b9efa36f-1e48-4017-addb-c85c7d489a3e | GET /users/1 | status=200 | durationMs=1
users request | id=bad1e3fb-9a66-43f9-a229-6f4c87d18630 | GET /users/1 | status=200 | durationMs=0
users request | id=8421e9e7-b38d-472b-a949-18634429c515 | GET /users/1 | status=200 | durationMs=1
users request | id=767c5d3d-535b-4b34-a073-bde638dd1be0 | GET /users/1 | status=200 | durationMs=0
users request | id=38268d24-92c6-40e8-bdf2-2a894d3598fa | GET /users/1 | status=200 | durationMs=1
users request | id=57d55096-c38f-48a2-b038-4c35ef31ac31 | GET /users/1 | status=200 | durationMs=1
users request | id=030fddea-60f5-454a-87f5-d5550fcb0615 | GET /users/1 | status=200 | durationMs=0
users request | id=02095ec7-3aa8-418a-8df5-8a750e6ee9cc | GET /users/1 | status=200 | durationMs=0
users request | id=365658bb-d5c4-46f3-8185-9c9c83b9d02c | GET /users/1 | status=200 | durationMs=0
users request | id=2c6939c7-9f48-4e99-b524-b621d465e8a4 | GET /users/1 | status=200 | durationMs=0
users request | id=91ebc66e-d0a8-4c2b-a306-03ecb4304b3e | GET /users/1 | status=200 | durationMs=1
users request | id=28f461f5-0580-4801-9b23-8eac44ecbc7e | GET /users/1 | status=200 | durationMs=1
users request | id=7bdde76e-d069-4bbb-9ecd-243cf428d437 | GET /users/1 | status=200 | durationMs=0
users request | id=e401f9fa-5997-47fd-8062-75c82904ddf5 | GET /users/1 | status=200 | durationMs=0
users request | id=13b3f744-c57b-4856-994f-8f1bf5eed8ec | GET /users/1 | status=200 | durationMs=1
users request | id=c7ea34e2-605a-40d6-b9dd-caf51e615e7f | GET /users/1 | status=200 | durationMs=0
users request | id=789e3a7d-1920-4abd-af0b-652132c356dd | GET /users/1 | status=200 | durationMs=1
users request | id=ced21277-d38f-47de-9f9a-73702cea34f2 | GET /users/1 | status=200 | durationMs=2
users request | id=58891a9e-7a77-4114-93a4-c08ba880639a | GET /users/1 | status=200 | durationMs=0
users request | id=ab5d1a52-4318-4589-a65e-28b5a3e62528 | GET /users/1 | status=200 | durationMs=0
users request | id=9f188f6d-1eaa-4a19-95a7-d2e60c6e0b4d | GET /users/1 | status=200 | durationMs=1
users request | id=f7034e3c-d662-40b5-b7d6-606369a136a3 | GET /users/1 | status=200 | durationMs=1
users request | id=4569ae09-d8c2-45fc-a093-f162a5a62729 | GET /users/1 | status=200 | durationMs=1
users request | id=c3f102f2-298e-4d17-b6f5-8cd40549a7a6 | GET /users/1 | status=200 | durationMs=1
users request | id=4681c898-fd26-4209-a07c-6e7031809249 | GET /users/1 | status=200 | durationMs=0
users request | id=5f34110f-e8e9-4bb9-a74f-ba6913f00a93 | GET /users/1 | status=200 | durationMs=0
users request | id=1aae3a80-46da-4fbf-93c3-c7799407d232 | GET /users/1 | status=200 | durationMs=1
users request | id=dcef0d57-b849-4794-a1ef-a3a706edb33b | GET /users/1 | status=200 | durationMs=0
users request | id=5a920a59-1690-4355-9016-4a1b751a180f | GET /users/1 | status=200 | durationMs=0
users request | id=6e36bb11-e649-453c-b3f1-e522f0cfc04e | GET /users/1 | status=200 | durationMs=1
users request | id=e0b3e799-545c-4f8b-9a40-e7a26d389068 | GET /users/1 | status=200 | durationMs=0
users request | id=3a58be17-4c28-4845-8f3b-35d6561535a7 | GET /users/1 | status=200 | durationMs=0
users request | id=7105e67a-2b9f-49e9-9d3f-4e9e369a74e0 | GET /users/1 | status=200 | durationMs=0
users request | id=6ef2be04-d698-42e0-9b6a-0b7f13b9258c | GET /users/1 | status=200 | durationMs=0
users request | id=f28574c0-1bbf-4f3e-b953-e1965df1b410 | GET /users/1 | status=200 | durationMs=1
users request | id=992fa219-50fd-43f2-8f63-e4e57a38a06c | GET /users/1 | status=200 | durationMs=1
users request | id=5c744d7b-8cab-44ff-9655-2aa8ed0afa56 | GET /users/1 | status=200 | durationMs=1
users request | id=037c014b-85b1-43a4-a009-1ef88216f237 | GET /users/1 | status=200 | durationMs=1
users request | id=ac56b692-395c-4048-a6ab-cbd12ab84d40 | GET /users/1 | status=200 | durationMs=0
users request | id=dc7a65c8-76c4-47a3-9f92-44918597e579 | GET /users/1 | status=200 | durationMs=0
users request | id=10d85e0d-1f23-4605-b666-9f8fd46f37a5 | GET /users/1 | status=200 | durationMs=0
users request | id=f7364bce-6474-4e75-82f2-ab67cde4901d | GET /users/1 | status=200 | durationMs=1
users request | id=0699f3fa-1de7-428b-9954-bcb630c54d98 | GET /users/1 | status=200 | durationMs=0
