
> users@1.0.0 start
> node src/server.js

users listening on port 3002
users request | id=041cf896-fed8-4528-a26e-ba13b22f6dcd | GET /users/1 | status=200 | durationMs=0
users request | id=c2a3b830-36fb-4167-9bfc-36b03ba7a78a | GET /users/1 | status=200 | durationMs=0
users request | id=d46b7fc4-4fcf-4d25-bc19-5d1f635ef07c | GET /users/1 | status=200 | durationMs=0
users request | id=88d163c1-ac9b-4025-9f48-6c08eaf8a576 | GET /users/1 | status=200 | durationMs=0
users request | id=7dce2bb8-0aec-4e92-b4c2-f01da03c1fed | GET /users/1 | status=200 | durationMs=0
users request | id=3ffa1a1a-e0ee-4e92-82e7-cb40bf6c0c2b | GET /users/1 | status=200 | durationMs=0
users request | id=7175f295-4812-4a30-9ea1-f5f5e975037e | GET /users/1 | status=200 | durationMs=0
users request | id=532ffe78-6ab0-4c47-bba8-a4422226ba7e | GET /users/1 | status=200 | durationMs=0
users request | id=46773d2d-ee8c-48f2-b614-4391ec4cbc23 | GET /users/1 | status=200 | durationMs=0
users request | id=77e85934-390a-4bc7-ac6b-6942216d4c45 | GET /users/1 | status=200 | durationMs=0
users request | id=efff3da6-60a3-4242-b96d-20b774d09c20 | GET /users/1 | status=200 | durationMs=1
users request | id=961490e8-d417-40b1-bc3c-36a91a430083 | GET /users/1 | status=200 | durationMs=0
users request | id=35a53339-d6bb-459d-bdc3-7bfe5733e44e | GET /users/1 | status=200 | durationMs=0
users request | id=08100361-ae1a-418b-bf62-c7aba3551628 | GET /users/1 | status=200 | durationMs=0
users request | id=f8a7c382-faad-4472-bd69-550bac29dd8b | GET /users/1 | status=200 | durationMs=0
users request | id=0ac95f77-4acb-409e-84ca-5dd3546e0538 | GET /users/1 | status=200 | durationMs=0
users request | id=7caefb41-d07a-42ba-ad66-6b3e20113236 | GET /users/1 | status=200 | durationMs=0
users request | id=66524dbe-9e19-4d23-ad7a-ac93f123fb1f | GET /users/1 | status=200 | durationMs=0
users request | id=66779491-deed-412b-9f73-64e2d745c7b6 | GET /users/1 | status=200 | durationMs=0
users request | id=abe54ec9-4f34-4dd5-8b8f-85f680dc3222 | GET /users/1 | status=200 | durationMs=0
users request | id=cf75aaeb-cc34-447b-be8d-9e360a967d2d | GET /users/1 | status=200 | durationMs=1
users request | id=64e14531-7a43-453e-8017-a805c109f671 | GET /users/1 | status=200 | durationMs=0
users request | id=f971bb82-446b-4db6-86f7-457c5c8e809d | GET /users/1 | status=200 | durationMs=0
users request | id=be012105-513b-49f8-abbd-a88433b5b9c3 | GET /users/1 | status=200 | durationMs=1
users request | id=50069738-0cef-4ff7-8c2c-3777cdd0bb98 | GET /users/1 | status=200 | durationMs=0
users request | id=12e07894-fe20-48f9-91cc-89ee365a51ed | GET /users/1 | status=200 | durationMs=1
users request | id=35e5c1fb-a9a2-456e-85d4-516d3b3db7f4 | GET /users/1 | status=200 | durationMs=0
users request | id=8b898035-7833-41f0-a225-307974b20fbf | GET /users/1 | status=200 | durationMs=0
users request | id=616338e2-d8c8-410d-93c0-7c9cceb99943 | GET /users/1 | status=200 | durationMs=1
users request | id=9499c47f-5b62-4c2e-9573-c21e378919a7 | GET /users/1 | status=200 | durationMs=1
users request | id=ddc68d82-a2e9-4f09-be08-6353bbe0f22a | GET /users/1 | status=200 | durationMs=0
users request | id=57a8df1c-bf95-4adf-9b2d-22dbe038d172 | GET /users/1 | status=200 | durationMs=0
users request | id=c4432266-9284-4ae5-baae-09ca2c1fa4a4 | GET /users/1 | status=200 | durationMs=0
users request | id=570ed0d9-a126-425f-b20e-7b95ee5c11a6 | GET /users/1 | status=200 | durationMs=0
users request | id=0c9b1a3a-3b73-4442-9895-e0900d63b42b | GET /users/1 | status=200 | durationMs=1
users request | id=6774efb8-b19b-4e20-aab4-53906f17662d | GET /users/1 | status=200 | durationMs=0
users request | id=cd76889f-ecfa-4b2c-a37a-131aadc6363d | GET /users/1 | status=200 | durationMs=1
users request | id=b9a7b4cc-1b7d-4834-8e75-a666853298ec | GET /users/1 | status=200 | durationMs=0
users request | id=bea4f404-2b4d-4cf9-8b6e-b6dc297561c7 | GET /users/1 | status=200 | durationMs=0
users request | id=d1ec3401-e238-479a-b0ab-7aab58998b8b | GET /users/1 | status=200 | durationMs=0
users request | id=ea44795b-cc6a-4fff-9b9a-71b3561bd0a8 | GET /users/1 | status=200 | durationMs=0
users request | id=a3cba48d-e44b-4253-9d00-0c4ab80fc0bf | GET /users/1 | status=200 | durationMs=1
users request | id=17ad1da1-d22a-4380-88f3-070dd7ae0323 | GET /users/1 | status=200 | durationMs=0
users request | id=8af89baf-1fac-42d3-840b-51d5ded3b809 | GET /users/1 | status=200 | durationMs=0
users request | id=4a6090d8-a840-4e94-af54-d955c957cd81 | GET /users/1 | status=200 | durationMs=0
users request | id=cd4bd7b9-4109-4e0b-a459-3fa8a48db8b4 | GET /users/1 | status=200 | durationMs=0
users request | id=0141625d-5a76-43f6-ab0b-26c01337b77c | GET /users/1 | status=200 | durationMs=0
users request | id=f23c2de0-32e7-4593-926a-9302de0c2831 | GET /users/1 | status=200 | durationMs=0
users request | id=df3b403f-1eff-480f-9a95-1456d5558e60 | GET /users/1 | status=200 | durationMs=1
users request | id=35116408-0e09-45ff-bc05-a26b10b1c0a6 | GET /users/1 | status=200 | durationMs=0
users request | id=df1a5919-bb26-4381-b6ea-44ecea8dd42e | GET /users/1 | status=200 | durationMs=0
users request | id=2ce1047d-8e30-402d-8d97-029749ce3690 | GET /users/1 | status=200 | durationMs=0
users request | id=cc6aaf45-c950-4496-8c83-2bce9b1898f8 | GET /users/1 | status=200 | durationMs=0
users request | id=5fe3aa86-11f5-48af-b848-1fb48e31bc0d | GET /users/1 | status=200 | durationMs=0
users request | id=135bb3a5-a73f-48ea-ae54-33a79b7507b8 | GET /users/1 | status=200 | durationMs=0
users request | id=0c27bb7c-1c85-48bf-8579-abf205894581 | GET /users/1 | status=200 | durationMs=1
users request | id=d7194de8-43e7-40d7-8105-c3298371b957 | GET /users/1 | status=200 | durationMs=0
