catalog cache disabled
catalog listening on port 3001
catalog request | id=09df20e6-882b-45b7-afed-e66b160b307e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=45147265-826f-45c8-84c8-a06e22d62af7 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=48bfc0b7-826b-412c-be5b-8602397ff978 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=aec9e98f-c5da-41f3-8900-f0e9a594ac23 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=40215004-ba40-4d9d-88a1-a70264137ba0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=64167b4f-e4fc-4c1b-92e0-fec70307d46c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=94d24ee0-e1bb-4e54-ac5b-73de38274061 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=987b033a-b547-4244-bb67-5f84e3d6f0aa | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7633b5fd-d5a1-4681-abde-f58053d084ca | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=049fada6-d69a-44a4-9b6c-a93654cc60ba | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f3116ed2-6ae2-474e-8ad3-2965acbd1157 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9301504a-d88f-4b32-8da4-bf947dee3195 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=970f5461-27dc-4112-bdd4-e3f2431c304b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cab941dc-758c-4655-97fc-98032b7b019e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4c866d77-48e7-4d15-aedc-672fd48cee9d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=414e3c2e-5456-4609-8d88-9a7278d70983 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f881f571-434a-4675-bc81-d7a3b5beaf36 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3d18c652-b311-43e2-b6c5-3beae722e6de | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7f6244e8-9ba5-48f3-9276-102e48ebbf7a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fe29f627-36dc-467f-a5cd-4127f95f8ba2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7470afe0-ec93-4ba1-9b22-40617090698e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=83c17d5e-00fc-476d-b87f-8c59090b0b41 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1745be13-fdf6-4d1a-b405-cdf40df5fe68 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c75c4851-d9b0-47f4-af90-13b3a867f0f5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f47f1b59-bb57-4f29-9079-e6314eb2f68f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=959a5e02-181f-4847-b49a-fef2b373ac76 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bae18f8f-9fbe-438b-a851-e53878958320 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c14e6139-cadd-48ec-bb56-8fab33ff8595 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f2bc4019-e4c8-4553-8076-93fc077c568b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=769f1397-222e-492a-af00-84e50bdad38a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7da08129-7183-4794-be05-fd0bd46d3135 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c220c355-383f-4711-a2a6-41c57d42442d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=70f09770-b98e-4025-a758-c60166dac509 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
