gateway listening on port 3000
gateway request | id=6e1578b0-63c3-4457-8a54-c2553264b227 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5463d2ce-629e-4306-afc7-ea41304598bb | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=702a0cd7-fd59-4ebc-853f-a8f8c70e3f03 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=31b8a798-365b-474f-9ef7-ed25155c1794 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fe2954b0-e256-4100-a0aa-126d9d16c2e6 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5c1f2518-72f6-4082-adaa-ceabfb219717 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4d89deba-9db3-4cd9-abcb-82ed173a3e43 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=1fd41cb7-ba0d-4819-8cc6-eee70efd4478 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2c404d58-0269-4225-bd8f-f28a83da4479 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ae821416-00b4-408e-91fe-3decf1c7d508 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d5d9034c-78c2-4d7e-a081-56807dfa36ed | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3d31f185-aee7-4a1d-be32-116b89c1a1f1 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=09d059bb-bca8-49bd-b3fa-21843e3c960e | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=863f3e87-db48-4fa6-b86d-0a9646c55e14 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b265c76a-561b-4a13-bac1-dc0089969ca7 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f553645b-a9b7-40a7-b020-dd748bd755ef | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a2b2d6c5-7b3b-4a4e-b9f0-f07ae3a2199c | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=72f38e34-7a40-4992-a1a0-32ae34ae391f | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d98343ad-e36b-4ab0-a824-f39ddd8e219e | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9f10f86e-2156-4c27-ab17-e95f4f4a4b79 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=889a7f1b-5370-465d-ae89-2b034c201c75 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fb71c8c8-cb94-4202-93e7-d292706e5c20 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0dfa9bc4-ef1b-4bfd-b731-a110de1ac23f | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6aff5c10-3da7-43b0-9ba6-161a46552f6c | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=1346c54b-57fc-445c-88bb-e132197cbc68 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
