users listening on port 3002
users request | id=70bb09c8-c768-4c97-8cd2-07f1b269fced | GET /users/1 | status=200 | durationMs=0
users request | id=222334f9-3a0e-4aa1-b7ac-baacfad74f94 | GET /users/1 | status=200 | durationMs=0
users request | id=d2422b10-6b5c-4dbd-aa64-cfdc77cebc7c | GET /users/1 | status=200 | durationMs=0
users request | id=82a35144-1121-4ca7-8de7-500bf19348d4 | GET /users/1 | status=200 | durationMs=0
users request | id=a9ac28f9-f767-495a-a523-89640bc2f23f | GET /users/1 | status=200 | durationMs=0
users request | id=947b5dd4-b649-4f98-93a4-eda42b1736a5 | GET /users/1 | status=200 | durationMs=1
users request | id=1eadcd96-1855-4985-aa13-530f4700ae8e | GET /users/1 | status=200 | durationMs=0
users request | id=2e166469-e660-4c25-a3a6-d690897855ff | GET /users/1 | status=200 | durationMs=0
users request | id=0e5e66e5-d91e-4f51-83fd-616c90716b83 | GET /users/1 | status=200 | durationMs=0
users request | id=f7fc02ff-9351-45d5-95c0-f12f4c1c9f8c | GET /users/1 | status=200 | durationMs=0
users request | id=f45f0561-828a-4d83-84ce-dd96a1e7e883 | GET /users/1 | status=200 | durationMs=0
users request | id=eb98661b-e6b2-41af-aacb-17df471e8f94 | GET /users/1 | status=200 | durationMs=0
users request | id=8a7a154a-cbe1-4746-bd34-71347b26a889 | GET /users/1 | status=200 | durationMs=0
users request | id=f66e40e0-4ebe-4159-b229-13ca129d780e | GET /users/1 | status=200 | durationMs=1
users request | id=59421286-6334-4723-93d2-e868fd7e21b2 | GET /users/1 | status=200 | durationMs=0
users request | id=75a7d28f-a343-4bf8-a9b7-522a8710f980 | GET /users/1 | status=200 | durationMs=0
users request | id=d3cde264-8542-45dc-8a90-58037a308eda | GET /users/1 | status=200 | durationMs=1
users request | id=b616869e-8220-4db7-b9bb-32bcd958a362 | GET /users/1 | status=200 | durationMs=0
users request | id=9504a4c1-960a-4f86-a0c6-258629b5aad9 | GET /users/1 | status=200 | durationMs=1
users request | id=14ab2dc8-a06d-4bd9-ba99-53abc464a135 | GET /users/1 | status=200 | durationMs=0
users request | id=07ec7603-b801-4c38-b777-bcc69ca38214 | GET /users/1 | status=200 | durationMs=0
users request | id=d2032d35-272a-4e47-8078-c44727dca132 | GET /users/1 | status=200 | durationMs=0
users request | id=813b2345-daf8-44ae-a398-5e06e11df7de | GET /users/1 | status=200 | durationMs=1
users request | id=2bbed715-8d41-4b6b-b185-f7877606cc08 | GET /users/1 | status=200 | durationMs=0
users request | id=e36f74f6-aa9c-4579-87b8-82c0ae523c30 | GET /users/1 | status=200 | durationMs=0
users request | id=8e6c43a7-f6c3-4a51-81da-628c449a2612 | GET /users/1 | status=200 | durationMs=0
users request | id=c6d36d1b-5bf5-409e-ba2e-ef7670b76221 | GET /users/1 | status=200 | durationMs=0
users request | id=13b436ac-15e3-44e7-9731-3815fe2d449e | GET /users/1 | status=200 | durationMs=1
users request | id=4fca5545-40c6-4f65-8c7c-0ad4f3bc81d2 | GET /users/1 | status=200 | durationMs=1
users request | id=8aae52c0-7fac-4106-b088-c59e0015f5b0 | GET /users/1 | status=200 | durationMs=4
users request | id=b263f763-14d9-4437-b1de-5177c25ab078 | GET /users/1 | status=200 | durationMs=1
users request | id=82a37697-bffe-4881-8097-35d1657caa04 | GET /users/1 | status=200 | durationMs=0
users request | id=62a0d4f4-d264-43ef-8119-cd9c0df71d2f | GET /users/1 | status=200 | durationMs=1
users request | id=49f51b1f-10be-4d81-8042-5dc2dd6067d0 | GET /users/1 | status=200 | durationMs=1
users request | id=19dd9eb2-a7f7-4b08-8bf7-b21a7d1a7381 | GET /users/1 | status=200 | durationMs=1
users request | id=f4e4cf41-422e-485a-810f-9d4137be5273 | GET /users/1 | status=200 | durationMs=0
users request | id=d5ec4e0a-50d1-4328-92cd-25566e74fbab | GET /users/1 | status=200 | durationMs=0
users request | id=851e1d5c-ee69-4355-88a8-ae112d1a5ca4 | GET /users/1 | status=200 | durationMs=0
users request | id=21e4e430-a8d7-424a-83e8-e95541250d09 | GET /users/1 | status=200 | durationMs=0
users request | id=155cb062-ac1c-49bf-9cc5-bcb6ad2dd925 | GET /users/1 | status=200 | durationMs=0
users request | id=4b83efd1-c8b5-4386-b85a-e36e66e16cd5 | GET /users/1 | status=200 | durationMs=1
users request | id=e2f4b5c8-715f-4257-8bcf-a448ea3f2e89 | GET /users/1 | status=200 | durationMs=1
users request | id=5d5b313c-78d7-41ad-94bc-dfcc83a12595 | GET /users/1 | status=200 | durationMs=0
users request | id=d3206f83-56e7-4d0e-b7df-5a47617765d1 | GET /users/1 | status=200 | durationMs=0
users request | id=5edcbda8-8403-4ee5-83ec-f3c0928fdd4c | GET /users/1 | status=200 | durationMs=0
users request | id=830c227c-c1ad-4c17-8590-db9625b5a785 | GET /users/1 | status=200 | durationMs=0
users request | id=789642c2-4747-40a9-a54c-f6f33c2bc7bb | GET /users/1 | status=200 | durationMs=0
users request | id=a08d2abd-8633-4dde-88af-1b9c9ecbd7e0 | GET /users/1 | status=200 | durationMs=0
users request | id=00c5b182-fe8b-469d-817d-eda84e1b4bd6 | GET /users/1 | status=200 | durationMs=0
users request | id=0200c1f6-1b71-4bc6-a83a-ce494278b1d0 | GET /users/1 | status=200 | durationMs=0
users request | id=ba9e711e-4e3c-44b3-ae63-753d82ae303a | GET /users/1 | status=200 | durationMs=0
users request | id=a625159c-79a3-4d56-bc75-f0e382fa6f80 | GET /users/1 | status=200 | durationMs=1
users request | id=24bf534e-e77e-4aa6-9ddb-58601efd3b24 | GET /users/1 | status=200 | durationMs=0
users request | id=74f96608-7cca-41f9-87bd-4a5167b5205b | GET /users/1 | status=200 | durationMs=0
users request | id=a57d297c-101f-40cc-968d-c8ddd77837fb | GET /users/1 | status=200 | durationMs=1
users request | id=48715436-f3d7-416b-8171-5574803f543d | GET /users/1 | status=200 | durationMs=0
users request | id=f84a30f7-a0a1-4ea7-9e36-7774aca6d596 | GET /users/1 | status=200 | durationMs=0
users request | id=1bda9a33-236d-43d3-a5d6-8639eaf19892 | GET /users/1 | status=200 | durationMs=0
users request | id=a8eecdfb-431f-4781-856c-edccbe50b45c | GET /users/1 | status=200 | durationMs=0
users request | id=18c32e26-2943-4e7f-83c6-59aae6dc3aae | GET /users/1 | status=200 | durationMs=0
users request | id=7401187c-3690-47dd-846a-c6e932fb97b6 | GET /users/1 | status=200 | durationMs=1
users request | id=0653c087-2316-494e-907d-dfd8712762ea | GET /users/1 | status=200 | durationMs=0
users request | id=7f0cde1b-1faf-4cf8-ac8a-a3b81d31a6b1 | GET /users/1 | status=200 | durationMs=0
users request | id=da5469a2-cbee-4980-9f2a-e6e45f469de5 | GET /users/1 | status=200 | durationMs=0
users request | id=94320235-4095-47c0-aa33-31828461ffaa | GET /users/1 | status=200 | durationMs=0
users request | id=838c797a-94ef-499a-990c-b019a1bc2ac6 | GET /users/1 | status=200 | durationMs=0
users request | id=0cc43dab-7019-4cf3-95dd-166a5c210498 | GET /users/1 | status=200 | durationMs=0
users request | id=deb09194-5c41-44c1-8e94-727cdf3e26d7 | GET /users/1 | status=200 | durationMs=0
users request | id=f71f1d4d-f15b-426e-8117-7388aa81587e | GET /users/1 | status=200 | durationMs=1
users request | id=349f7562-6013-430e-b194-368765b7020a | GET /users/1 | status=200 | durationMs=0
users request | id=b1096afd-b16c-46f6-8490-af017ea996db | GET /users/1 | status=200 | durationMs=0
users request | id=3269f5af-22f0-4d35-9af6-472d2873a1c6 | GET /users/1 | status=200 | durationMs=0
users request | id=ee6981c8-d734-40d1-8edf-1c6745a0791b | GET /users/1 | status=200 | durationMs=0
users request | id=3bb2553f-53cf-49ec-88b4-c61ed05e54d0 | GET /users/1 | status=200 | durationMs=0
users request | id=5769c47c-1fff-47ab-9918-559ad91b7cdf | GET /users/1 | status=200 | durationMs=0
users request | id=3d696339-08cd-4b95-89f0-e8691f5ad7e7 | GET /users/1 | status=200 | durationMs=1
users request | id=790b95d9-b714-497e-830e-8300dad0c192 | GET /users/1 | status=200 | durationMs=0
users request | id=d044f976-e00f-4412-a993-b793e8cf1f8e | GET /users/1 | status=200 | durationMs=0
users request | id=2364a61d-bd8b-4695-a6ab-999573a9246a | GET /users/1 | status=200 | durationMs=0
users request | id=d0601e21-3d53-4a83-b7d6-feb7d86f4295 | GET /users/1 | status=200 | durationMs=1
users request | id=dc44343f-2d4a-4363-b36f-04f6c9c5c539 | GET /users/1 | status=200 | durationMs=0
users request | id=1c1b9cdb-23e6-462e-bbf6-4113c3254267 | GET /users/1 | status=200 | durationMs=1
users request | id=fd3f3ecf-cc47-40db-a86f-c1b8d78f9404 | GET /users/1 | status=200 | durationMs=0
users request | id=b34e53cc-c4d4-48dc-8190-89abfa74bddb | GET /users/1 | status=200 | durationMs=0
users request | id=202fbc49-fce1-48f8-8833-bf41d3c7b2fb | GET /users/1 | status=200 | durationMs=0
users request | id=cd62fe7d-04c5-4543-a550-db4e287213ec | GET /users/1 | status=200 | durationMs=1
users request | id=1f4dfd65-5a8a-4a95-a4e3-79966f4f8907 | GET /users/1 | status=200 | durationMs=0
users request | id=fb6251c7-8284-4be9-b729-d5fc819b773a | GET /users/1 | status=200 | durationMs=0
users request | id=bb1e604b-c11a-4a83-9dc6-2218d9cb6db1 | GET /users/1 | status=200 | durationMs=1
users request | id=f2efd04d-fdd6-4eff-9bd9-0f95490d0336 | GET /users/1 | status=200 | durationMs=1
users request | id=3793553b-2c86-44bb-a04e-d9c5a7c3c094 | GET /users/1 | status=200 | durationMs=1
